10/108,"21.413932, 39.877739",Tent
1/56,"21.417645, 39.878336",Tent
11/50,"21.414569, 39.881833",Tent
2/62,"21.417066, 39.882069",Tent
5/1,"21.417126, 39.878486",Tent
6/114,"21.417762, 39.880223",Tent
7/1,"21.416906, 39.878829",Tent
8/114,"21.417323, 39.881188",Tent
9/1,"21.415305, 39.880781",Tent
4/62,"21.416824, 39.882647",Tent
8/62,"21.415849, 39.883671",Tent
6/62,"21.416198, 39.883360",Tent
10/62,"21.415419, 39.884068",Tent
6/204,"21.417267, 39.882909",Tent
8/204,"21.416688, 39.883660",Tent
6/62,"21.416208, 39.883778",Tent
12/204,"21.416368, 39.884637",Tent
9/62,"21.415759, 39.884347",Tent
5/204,"21.417497, 39.883456",Tent
9/204,"21.417317, 39.884004",Tent
3/56,"21.415679, 39.882062",Tent
4/56,"21.415229, 39.881879",Tent
1/56,"21.414440, 39.882952",Tent
8/56,"21.413951, 39.883403",Tent
9/56,"21.414280, 39.883746",Tent
39/62,"21.410173, 39.889981",Tent
16/202,"21.410291, 39.891281",Tent
14/202,"21.410627, 39.890812",Tent
12/202,"21.410979, 39.890324",Tent
39/062,"21.409803, 39.890306",Tent
33/062,"21.410778, 39.889386",Tent
8/202,"21.411819, 39.889188",Tent
4/202,"21.412256, 39.888610",Tent
25/062,"21.412155, 39.887708",Tent
29/062,"21.411433, 39.888502",Tent
31/68,"21.414793, 39.890144",Tent
17/206,"21.414524, 39.890523",Tent
19/206,"21.414221, 39.891172",Tent
21/206,"21.413869, 39.891714",Tent
23/206,"21.413482, 39.892381",Tent
25/206,"21.413113, 39.892995",Tent
40/68,"21.413801, 39.892598",Tent
23/204,"21.413768, 39.889079",Tent
24/206,"21.413768, 39.889855",Tent
26/206,"21.413583, 39.890505",Tent
37/204,"21.412978, 39.890054",Tent
28/206,"21.413297, 39.891245",Tent
30/206,"21.412962, 39.891912",Tent
32/206,"21.412474, 39.892544",Tent
43/204,"21.411685, 39.892020",Tent
41/204,"21.412172, 39.891299",Tent
39/204,"21.412626, 39.890577",Tent
37/204,"21.413012, 39.889909",Tent
40/204,"21.411164, 39.891804",Tent
13/202,"21.410929, 39.890956",Tent
Mina al Jadeed Hospital,"21.411248, 39.890469",Hospital
